"","elw_m","elw_n","elw2s_v0","elw2s_v1","elw2s_h0","elw2s_h1","gph","hou_perron","local_w"
"JPN",1.13522552094077,1.04646998784537,1.72165943766991,1.72165943766991,1.77045499950083,1.77045499950083,1.10799189988967,0.99,1.81069725540522
"KEN",1.57583485763124,1.05068021042301,0.862627067537179,0.862627067537179,1.67805745506693,1.67805745506693,1.1191833061275,0.99,0.931553096400411
"KHM",1.12634571964067,1.1491414431979,2.49992424816297,2.49992424816297,1.73158051177552,1.73158051177552,1.65430810640898,0.99,2.49992424816297
"KNA",0.793419907008912,1.04210294353991,1.15595068153075,1.15595068153075,0.715141164045754,0.715141164045754,0.837946708040898,0.813806603056453,1.14336692461056
"KOR",1.15780890261567,1.07188013445062,1.74687861607575,1.74687861607575,0.773084860095542,0.773084860095542,1.07527537999354,0.99,1.90926012060649
"KWT",0.945362839372119,1.14554273668596,0.819672282861405,0.819672282861405,1.2209126789786,1.2209126789786,0.780756298591641,0.116606944485358,0.523915993386027
"LAO",1.20878854336252,1.06441898105977,0.800867849680985,0.800867849680985,1.71849703220875,1.71849703220875,1.07716870074114,0.99,0.972696524755441
"LBN",0.963582321024194,1.0100446639375,0.905145554002113,0.905145554002113,0.905136348488723,0.905136348488723,0.992499826804242,-0.4999,1.05403508281142
"LBR",1.48687655229406,0.0635614425017234,2.4130366004675,2.4130366004675,1.3204367467264,1.3204367467264,1.3727245594493,0.99,2.4130366004675
"LCA",1.03780485143399,1.05904816169471,1.08839678572559,1.08839678572559,1.08839876737099,1.08839876737099,0.654502565972002,0.673069125454135,1.34278528550741
"LKA",1.37093906490728,1.03278313036954,1.40788451840765,1.40788451840765,2.07471936920086,2.07471936920086,1.1985516207764,0.99,1.05007073233842
"LSO",0.831184412410172,0.99440528169891,0.81061222177749,0.81061222177749,0.810609148689963,0.810609148689963,0.826435715217159,0.744851266247283,0.916703122587815
"LUX",1.15341297092704,1.02650121300615,2.13063193797925,2.13063193797925,1.16815407368887,1.16815407368887,0.938691045333083,0.946983664272844,2.13063193797925
"MAC",1.4289238750735,1.08475939056343,2.49992424816297,2.49992424816297,1.29821656227287,1.29821656227287,1.1709704378534,0.99,2.49992424816297
"MAR",1.14161342946656,1.04391778391915,1.22255513404138,1.22255513404138,1.69387087300645,1.69387087300645,0.990435029609884,0.99,1.30160906446479
"MDG",1.10053085634067,1.04459034821915,1.25078696975488,1.25078696975488,1.25077403677588,1.25077403677588,1.30021903867475,0.99,1.19829081410689
"MDV",1.14729047248097,1.0658362984428,1.52984230204605,1.52984230204605,0.769424048082405,0.769424048082405,1.18021959320639,0.99,1.52984230204605
"MEX",1.05577490041588,1.02961428564461,0.772604367353786,0.772604367353786,1.23189576806472,1.23189576806472,1.00707068421862,0.972211443629293,0.961899562934219
"MLI",1.0657639716218,1.0834317820102,1.14029300544215,1.14029300544215,1.60551215233016,1.60551215233016,1.25119153812855,0.99,0.809691073726441
"MLT",0.941126100878976,1.04138075216676,0.770146306100946,0.770146306100946,1.15606593415971,1.15606593415971,1.04521057727098,0.909325120316034,0.964619790641053
"MMR",1.53560565619471,1.07967287333908,1.61167277764117,1.61167277764117,2.37043522383862,2.37043522383862,1.17861590369516,0.99,1.17804816933027
"MNG",1.15349081764848,1.05410121844988,1.24014701633958,1.24014701633958,1.24014634498653,1.24014634498653,1.04554791234628,0.99,0.99013886830612
"MOZ",1.22978351343444,1.02298679733903,1.23211649733747,1.23211649733747,1.2321486433176,1.2321486433176,1.11241262227644,0.987246621360854,1.11512911688397
"MRT",0.913847674689095,0.99892523004028,0.328822408879883,0.328822408879883,1.24016597062264,1.24016597062264,0.674264346850103,0.770678950133976,0.328822408879883
"MSR",1.28666601667489,0.053934560345009,1.30448129929172,1.30448129929172,1.30448619837372,1.30448619837372,1.15494126205953,0.99,1.69277372649637
"MUS",1.06186136764366,1.05836500363856,1.03381197903205,1.03381197903205,1.03381056814567,1.03381056814567,0.983849222625366,0.99,0.584391256177986
"MWI",1.1131957912762,1.01414503347737,1.9829716715581,1.9829716715581,0.920564847245777,0.920564847245777,1.1140836438521,0.99,1.9829716715581
"MYS",1.18621928086577,1.07026771339675,1.69654762443598,1.69654762443598,1.28312347259888,1.28312347259888,1.07627686413723,0.99,1.64722276919899
